#options: 800x800 fps=40/1 timebase=1/40 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=8192 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:P dur:2 cpbdur:2 q:14.89 aq:7.30 tex:322310 mv:7296 misc:570 imb:79 pmb:754 smb:1667 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:14.81 aq:6.92 tex:329546 mv:7353 misc:517 imb:111 pmb:757 smb:1632 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:15.07 aq:6.53 tex:322638 mv:7604 misc:534 imb:174 pmb:766 smb:1560 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:15.02 aq:6.69 tex:327172 mv:7700 misc:528 imb:205 pmb:774 smb:1521 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:15.19 aq:7.05 tex:322269 mv:7564 misc:535 imb:161 pmb:787 smb:1552 d:- ref:0 ;
in:40 out:39 type:P dur:2 cpbdur:2 q:15.37 aq:7.22 tex:406072 mv:9050 misc:582 imb:227 pmb:709 smb:1564 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:15.28 aq:11.86 tex:148607 mv:12613 misc:604 imb:13 pmb:850 smb:1637 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:15.73 aq:8.80 tex:296513 mv:7414 misc:537 imb:96 pmb:791 smb:1613 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:15.90 aq:8.70 tex:294068 mv:7378 misc:554 imb:104 pmb:791 smb:1605 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:16.08 aq:8.77 tex:285729 mv:7516 misc:555 imb:134 pmb:799 smb:1567 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:16.25 aq:8.98 tex:276877 mv:7489 misc:554 imb:92 pmb:800 smb:1608 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:16.41 aq:9.02 tex:272359 mv:7630 misc:515 imb:206 pmb:792 smb:1502 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:16.57 aq:9.81 tex:270940 mv:7627 misc:537 imb:102 pmb:814 smb:1584 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:16.73 aq:9.66 tex:263538 mv:7378 misc:540 imb:110 pmb:816 smb:1574 d:- ref:0 ;
in:49 out:48 type:P dur:2 cpbdur:2 q:16.88 aq:8.89 tex:340692 mv:9033 misc:555 imb:185 pmb:767 smb:1548 d:- ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:16.80 aq:14.06 tex:116899 mv:11826 misc:699 imb:10 pmb:876 smb:1614 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:17.13 aq:10.22 tex:249692 mv:7360 misc:548 imb:111 pmb:821 smb:1568 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:17.31 aq:9.78 tex:244096 mv:7430 misc:530 imb:111 pmb:821 smb:1568 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:17.24 aq:10.44 tex:249647 mv:7499 misc:574 imb:140 pmb:812 smb:1548 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:17.33 aq:9.51 tex:240688 mv:7348 misc:612 imb:111 pmb:813 smb:1576 d:- ref:0 ;
in:55 out:54 type:P dur:2 cpbdur:2 q:17.42 aq:9.82 tex:304320 mv:8901 misc:611 imb:202 pmb:725 smb:1573 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:17.38 aq:14.78 tex:107703 mv:11771 misc:774 imb:11 pmb:850 smb:1639 d:- ref:0 ;
in:58 out:56 type:P dur:2 cpbdur:2 q:17.55 aq:9.34 tex:356735 mv:9507 misc:646 imb:383 pmb:595 smb:1522 d:- ref:0 ;
in:56 out:57 type:B dur:2 cpbdur:2 q:17.46 aq:12.83 tex:151229 mv:13008 misc:691 imb:29 pmb:848 smb:1623 d:- ref:0 ;
in:57 out:58 type:b dur:2 cpbdur:2 q:17.51 aq:15.46 tex:108941 mv:11236 misc:799 imb:13 pmb:816 smb:1671 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:17.74 aq:10.30 tex:226610 mv:7349 misc:625 imb:110 pmb:776 smb:1614 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:17.87 aq:10.59 tex:223015 mv:7511 misc:594 imb:140 pmb:777 smb:1583 d:- ref:0 ;
in:63 out:61 type:P dur:2 cpbdur:2 q:17.80 aq:10.07 tex:336546 mv:9699 misc:643 imb:353 pmb:608 smb:1539 d:- ref:0 ;
in:61 out:62 type:B dur:2 cpbdur:2 q:17.84 aq:13.95 tex:142135 mv:13074 misc:767 imb:15 pmb:835 smb:1650 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:17.82 aq:15.12 tex:104258 mv:11319 misc:711 imb:10 pmb:817 smb:1673 d:- ref:0 ;
in:65 out:64 type:P dur:2 cpbdur:2 q:17.95 aq:10.09 tex:276162 mv:8902 misc:680 imb:182 pmb:695 smb:1623 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:17.87 aq:15.41 tex:98063 mv:11296 misc:777 imb:15 pmb:780 smb:1705 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:18.06 aq:10.54 tex:201297 mv:7190 misc:641 imb:99 pmb:740 smb:1661 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:18.00 aq:10.56 tex:198447 mv:6901 misc:644 imb:87 pmb:718 smb:1695 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:18.10 aq:9.77 tex:191776 mv:7173 misc:579 imb:133 pmb:717 smb:1650 d:- ref:0 ;
in:71 out:69 type:P dur:2 cpbdur:2 q:18.07 aq:8.47 tex:268862 mv:8957 misc:613 imb:362 pmb:505 smb:1633 d:- ref:0 ;
in:69 out:70 type:B dur:2 cpbdur:2 q:18.09 aq:13.58 tex:129494 mv:12348 misc:742 imb:33 pmb:744 smb:1723 d:- ref:0 ;
in:70 out:71 type:b dur:2 cpbdur:2 q:18.08 aq:14.37 tex:95844 mv:10820 misc:712 imb:19 pmb:730 smb:1751 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:18.02 aq:10.04 tex:176681 mv:6664 misc:639 imb:109 pmb:645 smb:1746 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:18.10 aq:10.82 tex:174809 mv:6725 misc:682 imb:99 pmb:639 smb:1762 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:18.07 aq:9.26 tex:166981 mv:6821 misc:670 imb:140 pmb:603 smb:1757 d:- ref:0 ;
in:78 out:75 type:P dur:2 cpbdur:2 q:18.00 aq:5.87 tex:241373 mv:7828 misc:687 imb:410 pmb:359 smb:1731 d:- ref:0 ;
in:76 out:76 type:B dur:2 cpbdur:2 q:18.03 aq:12.01 tex:154841 mv:12325 misc:722 imb:57 pmb:646 smb:1797 d:- ref:0 ;
in:75 out:77 type:b dur:2 cpbdur:2 q:18.05 aq:13.60 tex:90310 mv:10557 misc:693 imb:14 pmb:659 smb:1827 d:- ref:0 ;
in:77 out:78 type:b dur:2 cpbdur:2 q:18.01 aq:14.23 tex:88032 mv:9781 misc:691 imb:18 pmb:621 smb:1861 d:- ref:0 ;
in:79 out:79 type:P dur:2 cpbdur:2 q:17.93 aq:10.55 tex:169548 mv:6863 misc:653 imb:193 pmb:526 smb:1781 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:17.93 aq:10.32 tex:222519 mv:8154 misc:639 imb:327 pmb:508 smb:1665 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:17.93 aq:15.14 tex:88274 mv:10946 misc:708 imb:19 pmb:672 smb:1809 d:- ref:0 ;
in:82 out:82 type:P dur:2 cpbdur:2 q:17.94 aq:10.48 tex:173343 mv:7135 misc:658 imb:137 pmb:621 smb:1742 d:- ref:0 ;
in:83 out:83 type:P dur:2 cpbdur:2 q:17.87 aq:10.09 tex:177828 mv:7218 misc:690 imb:174 pmb:637 smb:1689 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:17.86 aq:10.21 tex:179075 mv:7404 misc:625 imb:257 pmb:652 smb:1591 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:17.84 aq:9.87 tex:176802 mv:7500 misc:650 imb:214 pmb:659 smb:1627 d:- ref:0 ;
in:86 out:86 type:P dur:2 cpbdur:2 q:17.82 aq:10.83 tex:174849 mv:7241 misc:726 imb:169 pmb:669 smb:1662 d:- ref:0 ;
in:87 out:87 type:P dur:2 cpbdur:2 q:17.82 aq:9.30 tex:175762 mv:7356 misc:738 imb:169 pmb:679 smb:1652 d:- ref:0 ;
in:91 out:88 type:P dur:2 cpbdur:2 q:17.81 aq:9.67 tex:299803 mv:9837 misc:600 imb:590 pmb:468 smb:1442 d:- ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:17.82 aq:12.61 tex:160086 mv:14580 misc:854 imb:61 pmb:834 smb:1605 d:- ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:17.82 aq:14.80 tex:83312 mv:11342 misc:818 imb:29 pmb:783 smb:1688 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:17.82 aq:14.60 tex:79630 mv:11957 misc:845 imb:26 pmb:832 smb:1642 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:17.65 aq:9.94 tex:179169 mv:7681 misc:694 imb:195 pmb:738 smb:1567 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:17.59 aq:9.73 tex:186658 mv:7617 misc:757 imb:211 pmb:712 smb:1577 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:17.57 aq:7.79 tex:183181 mv:7973 misc:654 imb:329 pmb:725 smb:1446 d:- ref:0 ;
in:98 out:95 type:P dur:2 cpbdur:2 q:17.56 aq:5.41 tex:265154 mv:9432 misc:622 imb:568 pmb:428 smb:1504 d:- ref:0 ;
in:96 out:96 type:B dur:2 cpbdur:2 q:17.57 aq:11.47 tex:161205 mv:14903 misc:788 imb:70 pmb:865 smb:1565 d:- ref:0 ;
in:95 out:97 type:b dur:2 cpbdur:2 q:17.57 aq:13.84 tex:87233 mv:11885 misc:786 imb:34 pmb:843 smb:1623 d:- ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:17.56 aq:13.81 tex:86270 mv:10777 misc:841 imb:30 pmb:799 smb:1671 d:- ref:0 ;
in:102 out:99 type:P dur:2 cpbdur:2 q:17.48 aq:7.05 tex:255691 mv:8838 misc:615 imb:627 pmb:389 smb:1484 d:- ref:0 ;
in:100 out:100 type:B dur:2 cpbdur:2 q:17.52 aq:11.05 tex:149060 mv:13183 misc:661 imb:106 pmb:777 smb:1617 d:- ref:0 ;
in:99 out:101 type:b dur:2 cpbdur:2 q:17.54 aq:13.36 tex:97524 mv:10933 misc:799 imb:57 pmb:767 smb:1676 d:- ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:17.50 aq:11.99 tex:94623 mv:10751 misc:762 imb:54 pmb:754 smb:1692 d:- ref:0 ;
in:106 out:103 type:P dur:2 cpbdur:2 q:17.36 aq:6.77 tex:286834 mv:9558 misc:504 imb:563 pmb:464 smb:1473 d:- ref:0 ;
in:104 out:104 type:B dur:2 cpbdur:2 q:17.42 aq:11.29 tex:158397 mv:13692 misc:663 imb:72 pmb:841 smb:1587 d:- ref:0 ;
in:103 out:105 type:b dur:2 cpbdur:2 q:17.45 aq:13.89 tex:92314 mv:10473 misc:725 imb:28 pmb:800 smb:1672 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:17.39 aq:14.28 tex:85000 mv:10648 misc:808 imb:31 pmb:812 smb:1657 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:17.35 aq:6.39 tex:285836 mv:9547 misc:529 imb:534 pmb:468 smb:1498 d:- ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:17.36 aq:11.71 tex:161105 mv:14406 misc:689 imb:75 pmb:841 smb:1584 d:- ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:17.36 aq:13.57 tex:85564 mv:10851 misc:729 imb:26 pmb:831 smb:1643 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:17.35 aq:12.95 tex:85086 mv:11217 misc:745 imb:35 pmb:803 smb:1662 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:17.24 aq:6.85 tex:175076 mv:7180 misc:584 imb:230 pmb:693 smb:1577 d:- ref:0 ;
in:115 out:112 type:P dur:2 cpbdur:2 q:17.23 aq:5.93 tex:276847 mv:8992 misc:561 imb:506 pmb:439 smb:1555 d:- ref:0 ;
in:113 out:113 type:B dur:2 cpbdur:2 q:17.23 aq:10.94 tex:166685 mv:14178 misc:633 imb:48 pmb:796 smb:1656 d:- ref:0 ;
in:112 out:114 type:b dur:2 cpbdur:2 q:17.23 aq:13.72 tex:88804 mv:11107 misc:673 imb:22 pmb:793 smb:1685 d:- ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:17.23 aq:13.71 tex:91178 mv:11069 misc:665 imb:21 pmb:762 smb:1717 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:17.14 aq:6.89 tex:179488 mv:7063 misc:561 imb:148 pmb:641 smb:1711 d:- ref:0 ;
in:118 out:117 type:P dur:2 cpbdur:2 q:17.10 aq:6.77 tex:235322 mv:8134 misc:560 imb:220 pmb:560 smb:1720 d:- ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:17.12 aq:13.77 tex:101097 mv:10984 misc:623 imb:14 pmb:708 smb:1778 d:- ref:0 ;
in:120 out:119 type:P dur:2 cpbdur:2 q:17.07 aq:5.65 tex:225158 mv:7890 misc:528 imb:252 pmb:515 smb:1733 d:- ref:0 ;
in:119 out:120 type:b dur:2 cpbdur:2 q:17.08 aq:13.19 tex:104766 mv:10905 misc:577 imb:17 pmb:696 smb:1787 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:17.02 aq:7.72 tex:176644 mv:6855 misc:485 imb:145 pmb:570 smb:1785 d:- ref:0 ;
in:125 out:122 type:P dur:2 cpbdur:2 q:16.96 aq:7.52 tex:282765 mv:7765 misc:502 imb:399 pmb:357 smb:1744 d:- ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:16.99 aq:9.24 tex:170468 mv:12217 misc:563 imb:75 pmb:628 smb:1797 d:- ref:0 ;
in:122 out:124 type:b dur:2 cpbdur:2 q:17.00 aq:13.75 tex:107372 mv:10674 misc:586 imb:28 pmb:608 smb:1864 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:16.98 aq:13.06 tex:113506 mv:10384 misc:566 imb:22 pmb:631 smb:1847 d:- ref:0 ;
in:127 out:126 type:P dur:2 cpbdur:2 q:16.93 aq:7.71 tex:280901 mv:7853 misc:558 imb:241 pmb:490 smb:1769 d:- ref:0 ;
in:126 out:127 type:b dur:2 cpbdur:2 q:16.95 aq:13.64 tex:117122 mv:10586 misc:588 imb:10 pmb:674 smb:1816 d:- ref:0 ;
in:129 out:128 type:P dur:2 cpbdur:2 q:16.89 aq:8.76 tex:298927 mv:8017 misc:544 imb:208 pmb:549 smb:1743 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:16.91 aq:12.42 tex:122828 mv:11275 misc:593 imb:20 pmb:701 smb:1779 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:16.88 aq:8.22 tex:236075 mv:7204 misc:497 imb:173 pmb:650 smb:1677 d:- ref:0 ;
in:132 out:131 type:P dur:2 cpbdur:2 q:16.89 aq:7.98 tex:316924 mv:8448 misc:596 imb:292 pmb:568 smb:1640 d:- ref:0 ;
in:131 out:132 type:b dur:2 cpbdur:2 q:16.89 aq:13.15 tex:126950 mv:11365 misc:669 imb:15 pmb:739 smb:1746 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:16.87 aq:8.20 tex:255501 mv:7297 misc:586 imb:159 pmb:685 smb:1656 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:16.90 aq:8.82 tex:253412 mv:7274 misc:578 imb:125 pmb:723 smb:1652 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:16.91 aq:7.99 tex:260588 mv:7382 misc:550 imb:167 pmb:723 smb:1610 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:16.89 aq:9.64 tex:263990 mv:7340 misc:558 imb:126 pmb:737 smb:1637 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:16.86 aq:7.97 tex:261475 mv:7458 misc:587 imb:192 pmb:771 smb:1537 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:16.89 aq:8.19 tex:259007 mv:7452 misc:573 imb:206 pmb:772 smb:1522 d:- ref:0 ;
in:140 out:139 type:P dur:2 cpbdur:2 q:16.87 aq:8.55 tex:341139 mv:8946 misc:611 imb:216 pmb:713 smb:1571 d:- ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:16.88 aq:14.48 tex:120661 mv:11482 misc:729 imb:16 pmb:828 smb:1656 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:16.90 aq:10.00 tex:255510 mv:7385 misc:537 imb:133 pmb:792 smb:1575 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:16.92 aq:10.02 tex:256581 mv:7345 misc:554 imb:127 pmb:776 smb:1597 d:- ref:0 ;
in:144 out:143 type:P dur:2 cpbdur:2 q:16.97 aq:9.80 tex:329372 mv:8741 misc:623 imb:204 pmb:701 smb:1595 d:- ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:16.95 aq:14.17 tex:115522 mv:11793 misc:733 imb:19 pmb:827 smb:1654 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:16.99 aq:9.85 tex:256040 mv:7624 misc:520 imb:155 pmb:783 smb:1562 d:- ref:0 ;
in:146 out:146 type:P dur:2 cpbdur:2 q:17.03 aq:9.45 tex:254097 mv:7704 misc:463 imb:248 pmb:792 smb:1460 d:- ref:0 ;
in:148 out:147 type:P dur:2 cpbdur:2 q:17.08 aq:9.61 tex:332245 mv:9122 misc:537 imb:343 pmb:728 smb:1429 d:- ref:0 ;
in:147 out:148 type:b dur:2 cpbdur:2 q:17.06 aq:14.43 tex:110975 mv:11936 misc:721 imb:23 pmb:855 smb:1622 d:- ref:0 ;
in:149 out:149 type:P dur:2 cpbdur:2 q:17.17 aq:9.69 tex:252797 mv:7270 misc:573 imb:110 pmb:802 smb:1588 d:- ref:0 ;
in:150 out:150 type:P dur:2 cpbdur:2 q:17.21 aq:10.25 tex:250973 mv:7478 misc:581 imb:114 pmb:813 smb:1573 d:- ref:0 ;
in:151 out:151 type:P dur:2 cpbdur:2 q:17.28 aq:10.06 tex:253436 mv:7483 misc:537 imb:131 pmb:812 smb:1557 d:- ref:0 ;
in:152 out:152 type:P dur:2 cpbdur:2 q:17.26 aq:10.16 tex:249916 mv:7254 misc:622 imb:96 pmb:816 smb:1588 d:- ref:0 ;
in:153 out:153 type:P dur:2 cpbdur:2 q:17.30 aq:10.21 tex:246044 mv:7591 misc:597 imb:211 pmb:813 smb:1476 d:- ref:0 ;
in:154 out:154 type:P dur:2 cpbdur:2 q:17.33 aq:10.19 tex:241914 mv:7328 misc:630 imb:150 pmb:793 smb:1557 d:- ref:0 ;
in:157 out:155 type:P dur:2 cpbdur:2 q:17.39 aq:10.21 tex:372359 mv:9567 misc:610 imb:371 pmb:615 smb:1514 d:- ref:0 ;
in:155 out:156 type:B dur:2 cpbdur:2 q:17.35 aq:13.65 tex:150304 mv:13556 misc:676 imb:21 pmb:873 smb:1606 d:- ref:0 ;
in:156 out:157 type:b dur:2 cpbdur:2 q:17.37 aq:14.46 tex:107317 mv:12081 misc:690 imb:22 pmb:843 smb:1635 d:- ref:0 ;
in:159 out:158 type:P dur:2 cpbdur:2 q:17.42 aq:9.89 tex:325805 mv:9104 misc:643 imb:223 pmb:710 smb:1567 d:- ref:0 ;
in:158 out:159 type:b dur:2 cpbdur:2 q:17.40 aq:13.70 tex:106847 mv:12157 misc:748 imb:19 pmb:845 smb:1636 d:- ref:0 ;
in:161 out:160 type:P dur:2 cpbdur:2 q:17.45 aq:9.75 tex:324853 mv:9439 misc:604 imb:248 pmb:710 smb:1542 d:- ref:0 ;
